rank,date,ticker,name,group,layer,close,ret1_pct,ret5_pct,ret10_pct,ret20_pct,volume,avg_vol20,volume_ratio20,ma20,ma60,ma120,drawdown120_pct,bias20_pct,setup_score,risk_score,signals,score_band,regime,spec_risk_score,spec_risk_label,spec_risk_subtype,spec_risk_note,spec_risk_flags,spec_price_action_score,spec_crowding_score,spec_extension_score,spec_structure_score,atr_pct,volatility_tag,grade,rank_change,setup_change,risk_change,status_change
38,2026-04-27,2881.TW,富邦金,core,midlong_core,87.9,0.11,0.8,1.38,-0.79,24275768,18841170,1.29,87.68,90.06,92.0,-10.49,0.25,5,0,NONE,開始轉強,還在觀察,0,正常,正常,結構相對正常,,0,0,0,0,1.36,穩健,X,0,0,0,FLAT
39,2026-04-27,2882.TW,國泰金,core,midlong_core,74.5,-0.53,-0.13,3.47,5.23,27892578,25972404,1.07,73.21,74.24,71.91,-6.52,1.76,5,0,NONE,開始轉強,還在觀察,0,正常,正常,結構相對正常,,0,0,0,0,1.93,穩健,X,0,0,0,FLAT
40,2026-04-27,2340.TW,台亞,satellite,midlong_core,35.25,-4.34,-0.7,22.82,26.8,12920617,12041034,1.07,31.13,28.2,27.15,-17.93,13.23,5,1,TREND,開始轉強,中段延續中,3,投機偏高,資金擁擠型,波段急漲、波動劇烈、震幅過大,"波段急漲,波動劇烈,震幅過大,乖離偏大",1,2,1,0,8.48,劇烈,X,0,0,0,FLAT
41,2026-04-27,2884.TW,玉山金,core,midlong_core,32.55,0.0,-0.91,1.56,0.62,40117644,29607650,1.35,32.5,33.09,32.37,-7.26,0.16,5,0,NONE,開始轉強,還在觀察,0,正常,正常,結構相對正常,,0,0,0,0,1.46,穩健,B,0,0,0,FLAT
42,2026-04-27,2303.TW,聯電,core,midlong_core,72.7,-2.42,-5.46,20.97,24.91,186658990,175304536,1.06,64.93,63.65,56.1,-7.51,11.97,5,1,TREND,開始轉強,中段延續中,1,正常,正常,波動劇烈、震幅過大、乖離偏大,"波動劇烈,震幅過大,乖離偏大",0,2,1,0,6.44,活潑,X,0,0,0,FLAT
43,2026-04-27,8111.TWO,立碁,theme,short_attack,66.9,-1.76,-13.79,0.0,6.7,4147551,6469437,0.64,67.33,66.58,66.83,-17.31,-0.65,5,0,NONE,開始轉強,還在觀察,2,正常,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0,2,0,0,7.75,劇烈,X,0,0,0,FLAT
44,2026-04-27,3450.TW,聯鈞,theme,short_attack,301.5,-5.19,-21.28,-2.58,8.06,16348292,19713408,0.83,307.05,281.55,268.56,-21.28,-1.81,5,0,PULLBACK,開始轉強,高檔拉回整理,2,正常,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0,2,0,0,9.31,劇烈,X,0,0,0,FLAT
45,2026-04-27,00878.TW,國泰永續高股息,etf,midlong_core,25.0,0.0,2.0,8.65,11.41,119763791,80992237,1.48,23.41,22.87,21.92,-0.4,6.79,4,1,TREND,開始轉強,中段延續中,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,1.47,穩健,X,0,0,0,FLAT
46,2026-04-27,00773B.TWO,中信優先金融債,etf,defensive_watch,35.8,-0.31,-0.25,-0.26,0.35,772718,1263935,0.61,35.92,36.09,35.96,-2.41,-0.32,3,1,BASE,一般觀察,低檔慢慢墊高,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,0.43,穩健,X,0,0,0,FLAT
47,2026-04-27,00772B.TWO,中信高評級公司債,etf,defensive_watch,33.7,-0.38,-0.59,-0.59,0.18,3008282,3103914,0.97,33.91,33.9,33.69,-1.91,-0.62,3,1,BASE,一般觀察,低檔慢慢墊高,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,0.44,穩健,X,0,0,0,FLAT
48,2026-04-27,00679B.TWO,元大美債20年,etf,defensive_watch,26.87,-0.33,-0.63,-0.85,-1.14,33715568,40579678,0.83,27.16,27.24,27.14,-4.04,-1.05,3,1,BASE,一般觀察,低檔慢慢墊高,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,0.5,穩健,X,0,0,0,FLAT
49,2026-04-27,2891.TW,中信金,core,midlong_core,52.7,-0.38,-0.75,-1.13,-0.57,48757722,47743553,1.02,53.45,52.42,49.12,-6.73,-1.41,3,0,NONE,一般觀察,還在觀察,0,正常,正常,結構相對正常,,0,0,0,0,2.24,標準,X,0,0,0,FLAT
50,2026-04-27,2374.TW,佳能,theme,short_attack,70.9,-0.56,-1.94,0.14,-2.21,4864440,4432213,1.1,70.67,75.2,77.87,-24.71,0.33,3,0,PULLBACK,一般觀察,高檔拉回整理,0,正常,正常,結構相對正常,,0,0,0,0,3.88,標準,X,0,0,0,FLAT
51,2026-04-27,3491.TWO,昇達科,satellite,midlong_core,1605.0,2.23,-5.31,-10.08,3.55,2078377,2256060,0.92,1662.75,1429.68,1004.89,-11.57,-3.47,3,0,NONE,一般觀察,還在觀察,2,正常,正常,波動劇烈、震幅過大,"波動劇烈,震幅過大",0,2,0,0,7.08,劇烈,X,0,0,0,FLAT
52,2026-04-27,00687B.TWO,國泰20年美債,etf,defensive_watch,27.91,-0.39,-0.68,-0.92,-1.13,29589250,25934212,1.14,28.22,28.31,28.21,-4.04,-1.09,2,1,NONE,一般觀察,還在觀察,0,正常,正常,高檔無回檔,高檔無回檔,0,0,1,0,0.49,穩健,X,0,0,0,FLAT
